ID,IndicatorName,Lookup Paper,Comment
703,27,345,
706,59,345,
707,5,345,
708,54,345,
709,99,5,
710,120,345,
711,5,345,
712,10,347,
713,31,347,
714,32,347,"BOD, QODl SST"
715,27,347,
716,54,348,
717,118,348,
718,61,348,
719,117,348,
720,10,349,
721,61,349,
722,31,349,
723,27,349,
724,5,349,
725,56,349,
726,99,349,
727,56,350,
729,31,351,
730,5,351,
731,5,353,
732,61,353,
733,46,353,
734,157,356,
735,127,356,
736,126,356,
737,54,356,
738,67,356,
739,159,356,
740,31,356,
741,108,356,
742,46,356,
743,61,357,
1639,177,496,
1640,201,496,
1641,197,496,
1642,179,358,Range 21.6 -  31.6 Measure as Autonomy
1643,193,358,
1644,187,358,
1645,200,359,
1646,183,361,
1647,203,360,
1648,181,361,
1649,171,362,
1650,204,362,
1651,182,375,
1652,182,363,
1653,166,363,
1654,182,364,
1655,171,365,
1656,203,365,
1657,182,365,
1658,185,365,
1659,191,366,
1660,191,364,
1661,203,366,
1662,191,367,
1663,182,367,
1664,196,368,
1665,177,369,Using PALM
1666,191,369,Using PALM
1667,182,369,Using PALM
1668,188,370,
1669,196,371,
1670,177,371,
1671,204,372,Measured as 0.567 × T + 0.393 × VP + 3.94 see https://agupubs-onlinelibrary-wiley-com.ezproxy2.utwente.nl/action/downloadSupplement?doi=10.1029%2F2019GL084156&file=grl59619-sup-0001-2019GL084156-Text_SI-S01.pdf
1672,177,373,"Multi comparison (urban-rural, urban-agricultiure, range)"
1673,204,374,"Measured at different heights: surface, canopy, simplified"
1674,182,376,
1675,186,376,
1676,194,377,
1677,171,379,
1678,177,379,
1679,176,379,
1680,188,380,
1681,171,378,
1682,176,378,
1683,204,382,
1684,204,385,
1685,188,384,
1686,177,384,
1687,189,387,
1688,197,381,
1689,177,389,
1690,177,383,
1691,177,388,
1692,183,390,
1693,185,392,
1694,180,392,
1695,177,393,
1696,196,393,
1697,176,394,
1698,204,394,
1699,188,395,
1700,191,401,
1701,182,397,Using Rayman
1702,171,399,
1703,204,399,
1704,182,398,
1705,197,400,
1706,174,400,
1707,188,402,
1708,190,402,
1709,182,403,
1710,203,403,
1711,172,404,
1712,177,405,
1713,177,406,Recognize LST is not a good indicator due to sun syncronus 10am satellite
1714,182,407,Using Greenpass Editor
1715,177,409,
1716,170,410,
1717,165,410,
1718,204,411,
1719,171,411,
1720,177,412,
1721,197,413,
1722,204,414,
1723,171,414,
1724,188,415,
1725,183,416,
1726,177,417,
1727,197,418,
1728,171,419,
1729,177,421,
1730,188,420,
1731,177,423,
1732,203,422,
1733,177,422,
1734,184,425,
1735,204,426,
1736,171,426,
1737,176,426,
1738,203,426,
1739,164,426,
1740,184,424,
1741,203,427,
1742,182,427,
1743,177,428,
1744,177,430,
1745,177,431,
1746,183,432,
1747,177,433,
1748,203,434,
1749,171,435,
1750,191,436,
1751,182,436,
1752,203,437,
1753,169,437,
1754,177,439,
1755,177,440,
1756,177,438,
1757,203,441,
1758,177,442,
1759,204,443,
1760,188,444,
1761,192,445,
1762,205,445,
1763,204,446,
1764,171,446,
1765,164,446,
1766,188,447,
1767,197,448,
1768,199,449,
1769,197,450,
1770,171,450,
1771,203,451,
1772,204,452,
1773,182,453,
1774,188,454,
1775,203,455,
1776,191,455,
1777,182,456,
1778,194,456,
1779,182,457,
1780,194,457,
1781,188,458,
1782,177,458,
1783,182,459,
1784,177,460,
1785,182,461,
1786,194,462,
1787,182,462,
1788,177,463,
1789,182,464,
1790,194,464,
1791,191,464,
1792,197,465,
1793,197,466,
1794,188,467,
1795,197,468,
1796,197,469,
1797,177,470,
1798,167,484,
1799,182,487,
1800,188,473,
1801,188,486,
1802,182,490,
1803,188,471,
1804,182,478,
1805,191,478,
1806,197,472,
1807,177,480,
1808,188,481,
1809,188,479,
1810,177,483,
1811,177,477,
1812,188,488,
1813,188,491,
1814,171,489,
1815,164,489,
1816,176,489,
1817,204,489,
1818,170,489,
1819,171,475,
1820,177,474,
1821,191,474,
1822,203,485,
1823,188,476,
1824,182,482,
1825,191,482,
1826,194,493,
1827,164,492,
1828,170,492,
1829,177,494,
1830,197,494,
1831,197,506,
1832,177,507,
1833,191,507,
1834,183,507,
1835,204,503,
1836,177,508,
1837,196,509,
1838,191,510,
1839,197,512,
1840,204,511,
1841,194,511,
1842,182,513,
1843,194,504,
1844,182,504,
1845,191,504,
1846,171,514,
1847,204,514,
1848,182,515,
1849,182,516,
1850,191,516,
1851,177,517,
1852,188,518,
1853,191,519,
1854,182,521,
1855,191,521,
1856,188,520,
1857,164,538,
1858,188,501,
1859,177,501,
1860,204,497,
1861,164,500,
1862,170,500,
1863,171,500,
1864,176,500,
1865,190,500,
1866,204,500,
1867,173,499,
1868,173,498,
1869,177,495,
1870,171,502,
1871,204,502,
1872,197,505,
1873,191,522,
1874,188,523,
1875,191,524,
1876,177,525,
1877,188,525,Measured as Diff/mean
1878,177,526,
1879,191,527,
1880,183,527,
1881,182,527,
1882,203,527,
1883,203,528,
1884,179,529,
1885,164,530,
1886,197,531,
1887,188,532,
1888,182,533,
1889,164,534,
1890,191,534,
1891,182,534,
1892,177,535,
1893,177,536,
1894,203,539,
1895,177,540,
1896,177,541,
1897,203,542,
1898,177,543,
1899,182,544,
1900,164,545,
1901,182,546,
1902,188,547,
1903,182,548,
1904,177,549,
1905,177,550,
1906,182,551,
1907,183,552,
1908,181,552,
1909,183,553,
1910,181,553,
